,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
8513,MLB 09: The Show,PlayStation 2,2009.0,Sports,Sony Computer Entertainment  ,0.16,0.13,0.0,0.04,0.33,79.0,7.0,6.9,14.0,SCEA San Diego Studios,E
8514,Cool Boarders 2001,PlayStation 2,2001.0,Sports,Sony Computer Entertainment  ,0.16,0.13,0.0,0.04,0.33,78.0,16.0,5.6,5.0,Idol Minds,E
8515,MLB 08: The Show,PSP,2008.0,Sports,Sony Computer Entertainment  ,0.3,0.0,0.0,0.02,0.32,83.0,14.0,7.8,14.0,SCEA San Diego Studios,E
8516,SSX Blur,Wii,2007.0,Sports,EA Sports BIG   ,0.29,0.01,0.0,0.02,0.32,74.0,52.0,7.8,64.0,EA Montreal,E
8518,MVP Baseball 2005,GameCube,2005.0,Sports,EA Sports  ,0.25,0.07,0.0,0.01,0.33,88.0,20.0,7.8,19.0,EA Sports,E
8520,Major League Baseball 2K6,Xbox,2006.0,Sports,2K Sports  ,0.24,0.07,0.0,0.01,0.32,71.0,21.0,5.7,12.0,Kush Games,E
8521,EA Playground,DS,2007.0,Action,Electronic Arts  ,0.29,0.01,0.0,0.03,0.32999999999999996,60.0,8.0,7.6,13.0,Piranha Games,E
8523,NBA Street V3,Xbox,2005.0,Sports,EA Sports BIG   ,0.28,0.03,0.0,0.01,0.32000000000000006,89.0,41.0,7.9,14.0,EA Canada,E
8524,FIFA Street 3,PlayStation 3,2008.0,Sports,EA Sports BIG   ,0.08,0.18,0.0,0.06,0.32,63.0,37.0,6.7,22.0,EA Canada,E
8526,MLB 07: The Show,PlayStation 3,2007.0,Sports,Sony Computer Entertainment  ,0.29,0.0,0.0,0.03,0.31999999999999995,77.0,30.0,7.5,17.0,SCEA San Diego Studios,E
8527,Tony Hawk's American Wasteland,Xbox 360,2005.0,Sports,Activision  ,0.28,0.01,0.0,0.03,0.32000000000000006,75.0,43.0,7.2,26.0,Neversoft Entertainment,T
8528,FIFA 2001 Major League Soccer,PlayStation,2000.0,Sports,EA Sports  ,0.18,0.12,0.0,0.02,0.32,85.0,10.0,7.0,9.0,EA Sports,E
8529,Disney's Extreme Skate Adventure,PlayStation 2,2003.0,Sports,Activision  ,0.16,0.12,0.0,0.04,0.32,78.0,15.0,8.4,14.0,Toys for Bob,E
8530,Cabela's Dangerous Hunts 2011,Xbox 360,2010.0,Sports,Activision  ,0.28,0.01,0.0,0.02,0.31000000000000005,55.0,7.0,6.0,4.0,Activision,T
8532,NBA 2K3,Xbox,2002.0,Sports,Sega  ,0.24,0.07,0.0,0.01,0.32,87.0,15.0,7.9,9.0,Visual Concepts,E
8533,All-Star Baseball 2005,PlayStation 2,2004.0,Sports,Acclaim Entertainment  ,0.16,0.12,0.0,0.04,0.32,72.0,13.0,8.6,21.0,Acclaim,E
8534,NFL Fever 2004,Xbox,2003.0,Sports,Microsoft Game Studios  ,0.24,0.07,0.0,0.01,0.32,74.0,29.0,8.8,17.0,Microsoft Game Studios,E
8536,Rugby World Cup 2011,PlayStation 3,2011.0,Sports,505 Games  ,0.0,0.25,0.0,0.07,0.32,50.0,12.0,5.4,8.0,HB Studios Multimedia,E
8537,Fishing Master,Wii,2007.0,Sports,Konami  ,0.29,0.0,0.0,0.02,0.31,58.0,9.0,8.1,9.0,Hudson Soft,E
8538,Madden NFL 2004,Game Boy Advance,2003.0,Sports,EA Sports  ,0.22,0.08,0.0,0.01,0.31,70.0,9.0,6.6,5.0,BudCat,E
8539,NBA Inside Drive 2003,Xbox,2002.0,Sports,Microsoft Game Studios  ,0.23,0.07,0.0,0.01,0.31000000000000005,72.0,21.0,7.6,10.0,High Voltage Software,E
8540,FIFA Street,PlayStation 2,2005.0,Sports,EA Sports BIG   ,0.15,0.12,0.0,0.04,0.31,59.0,29.0,7.9,62.0,EA Canada,E
8541,My Horse & Me,Wii,2008.0,Sports,Atari  ,0.27,0.02,0.0,0.02,0.31000000000000005,49.0,16.0,6.9,7.0,W!Games,E
8542,Major League Baseball 2K8,PlayStation 3,2008.0,Sports,2K Sports  ,0.28,0.0,0.0,0.03,0.31000000000000005,67.0,23.0,5.6,8.0,Kush Games,E
8543,Tiger Woods PGA Tour 06,Xbox 360,2005.0,Sports,EA Sports  ,0.28,0.0,0.0,0.02,0.30000000000000004,71.0,36.0,7.4,8.0,EA Sports,E
8545,Jonah Lomu Rugby Challenge,Xbox 360,2011.0,Sports,Mad Catz  ,0.09,0.19,0.0,0.03,0.31000000000000005,73.0,14.0,6.0,8.0,Sidhe Interactive,E
8547,NCAA Final Four 2002,PlayStation 2,2001.0,Sports,Sony Computer Entertainment  ,0.15,0.12,0.0,0.04,0.31,52.0,14.0,6.5,8.0,989 Sports,E
8548,NBA Live 08,PSP,2007.0,Sports,Electronic Arts  ,0.28,0.0,0.0,0.02,0.30000000000000004,73.0,11.0,6.7,6.0,EA Canada,E
8549,NBA 2K19,Switch,2018.0,Sports,2K Sports  ,0.24,0.02,0.01,0.03,0.30000000000000004,82.0,6.0,4.3,68.0,Visual Concepts,E
8550,Pro Evolution Soccer 2013,Xbox 360,2012.0,Sports,Konami Digital Entertainment  ,0.08,0.2,0.0,0.03,0.31000000000000005,82.0,33.0,7.1,87.0,Konami,E
8552,NBA Live 2003,GameCube,2002.0,Sports,EA Sports  ,0.23,0.06,0.0,0.01,0.30000000000000004,82.0,11.0,8.2,5.0,EA Canada,E
8555,FIFA 15,PC,2014.0,Sports,EA Sports  ,0.0,0.28,0.0,0.02,0.30000000000000004,82.0,9.0,4.5,447.0,EA Sports,E
