Name,Platform,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Genre
Bayonetta,PlayStation 3,87,54,7.7,449,"PlatinumGames, Nex Entertainment",M,Action
The Lord of the Rings: The Fellowship of the Ring,PlayStation 2,59,19,4.7,32,Surreal Software,T,Action Adventure
Enter the Matrix,Xbox,65,33,7.2,72,Shiny Entertainment,T,Action
SpongeBob SquarePants: Revenge of the Flying Dutchman,Game Boy Advance,71,4,7.8,9,Vicarious Visions,E,Action
Metal Gear Solid: Portable Ops,PSP,87,54,8.1,198,Kojima Productions,M,Action Adventure
Hitman 2: Silent Assassin,Xbox,84,23,7.1,23,Io Interactive,M,Action Adventure
Spider-Man: The Movie,GameCube,76,14,7.3,14,Treyarch,E,Action
LEGO Dimensions,PlayStation 4,80,53,7.2,84,Traveller's Tales,E10+,Action Adventure
LEGO Star Wars III: The Clone Wars,PlayStation 3,76,36,7.6,51,Traveller's Tales,E10+,Action Adventure
LEGO Jurassic World,PlayStation 4,70,46,7.1,114,TT Games,E10+,Action Adventure
Red Dead Redemption: Undead Nightmare,PlayStation 3,,,7.8,27,Rockstar San Diego,M,Miscellaneous
Sunset Overdrive,Xbox One,81,89,7.8,1469,Insomniac Games,M,General
Gauntlet: Dark Legacy,PlayStation 2,73,15,8.3,33,Midway,T,Action
Middle-earth: Shadow of War,Xbox One,81,38,4.4,392,Monolith Productions,M,Action Adventure
LEGO Marvel Super Heroes,Xbox One,,,7.1,87,TT Games,E10+,Action Adventure
LEGO Star Wars III: The Clone Wars,3DS,67,25,6.5,35,Traveller's Tales,E10+,Action Adventure
Action Bass,PlayStation,51,8,tbd,,Vingt-et-un Systems,E,Sports
Tenchu: Wrath of Heaven,PlayStation 2,79,33,8.6,65,K2 LLC,M,Action Adventure
The Lord of the Rings: The Return of the King,Xbox,84,31,8.1,40,EA Games,T,Action
Spider-Man 2,Xbox,83,60,8.4,53,Treyarch,T,Action Adventure
Transformers: The Game,PlayStation 2,56,8,6.6,40,Traveller's Tales,T,Action Adventure
LEGO Marvel Super Heroes 2,PlayStation 4,73,61,7.0,75,TT Games,E10+,Action
Castlevania: Lords of Shadow,PlayStation 3,85,62,8.1,572,Mercury Steam,M,Action Adventure
Tom Clancy's Splinter Cell Chaos Theory,Xbox,94,70,9.1,227,Ubisoft Montreal,M,Action Adventure
Red Dead Redemption: Undead Nightmare,Xbox 360,,,8.0,29,Rockstar San Diego,M,Miscellaneous
Metal Gear Solid HD Collection,PlayStation 3,89,50,9.0,505,"Genki, Bluepoint Games",M,Miscellaneous
LEGO Star Wars III: The Clone Wars,DS,66,8,6.8,4,Traveller's Tales,E,Action Adventure
Bully: Scholarship Edition,Xbox 360,80,56,8.3,208,"Mad Doc Software, Rockstar Vancouver",T,Action Adventure
Star Wars: The Force Unleashed,PSP,70,10,7.9,65,Krome Studios,T,Action
The Godfather,PlayStation 2,75,56,8.5,136,Electronic Arts,M,Action Adventure
Dante's Inferno,PlayStation 3,75,69,7.6,344,Visceral Games,M,Action
Disney's Lilo & Stitch,Game Boy Advance,80,11,7.4,7,Digital Eclipse,E,Action
Lego Star Wars II: The Original Trilogy,DS,47,9,5.1,48,Amaze Entertainment,E,Action Adventure
Hulk,PlayStation 2,71,28,7.8,26,Radical Entertainment,T,Action
Darksiders,Xbox 360,83,81,7.9,347,Vigil Games,M,Action Adventure
LEGO Marvel Super Heroes: Universe in Peril,3DS,56,5,5.2,19,TT Games,E10+,Action Adventure
The Evil Within 2,PlayStation 4,76,67,8.3,1390,Tango Gameworks,M,Action Adventure
Disney Universe,Wii,61,11,6.6,8,"Eurocom Entertainment Software, Eurocom",E10+,Action Adventure
LEGO Pirates of the Caribbean: The Video Game,Xbox 360,73,54,7.3,44,Traveller's Tales,E10+,Action Adventure
Guinness World Records: The Videogame,Wii,67,12,7.0,8,TT Fusion,E10+,Action
Tomb Raider,PC,86,18,8.4,4697,"Crystal Dynamics, Nixxes Software",M,Action Adventure
LEGO Jurassic World,PlayStation 3,,,7.4,18,TT Games,E10+,Action Adventure
Assassin's Creed Rogue,Xbox 360,72,32,7.4,398,Ubisoft,M,Action Adventure
LEGO Marvel's Avengers,PlayStation 4,71,70,7.1,138,TT Games,E10+,Action Adventure
LEGO Jurassic World,Xbox 360,,,7.4,20,TT Games,E10+,Action Adventure
LEGO Harry Potter: Years 5-7,Xbox 360,77,35,8.0,53,Traveller's Tales,E10+,Action Adventure
