Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Saints Row: The Third,PlayStation 3,2011.0,Action Adventure,THQ  ,0.86,1.06,0.18,0.37,2.48,82.0,50.0,7.8,443.0,Volition Inc.,M
Assassin's Creed Origins,Xbox One,2017.0,Action Adventure,Ubisoft  ,1.34,0.92,0.0,0.22,2.47,85.0,42.0,7.7,824.0,"Ubisoft, Ubisoft Montreal",M
Dying Light,PlayStation 4,2015.0,Horror,Warner Bros. Interactive  ,1.18,0.74,0.13,0.4,2.45,74.0,58.0,8.0,1708.0,Techland,M
Dead Island,Xbox 360,2011.0,Action Adventure,Deep Silver  ,1.48,0.7,0.0,0.21,2.38,71.0,75.0,6.9,658.0,Techland,M
The Incredibles,PlayStation 2,2004.0,Action Adventure,THQ  ,0.96,1.08,0.04,0.3,2.37,62.0,36.0,7.8,38.0,Heavy Iron Studios,T
Uncharted: The Lost Legacy,PlayStation 4,2017.0,Action,Sony Interactive Entertainment  ,0.58,1.38,0.04,0.36,2.37,84.0,104.0,8.0,1986.0,Naughty Dog,T
Assassin's Creed IV: Black Flag,Xbox One,2013.0,Action Adventure,Ubisoft  ,1.51,0.59,0.0,0.22,2.32,,,7.7,461.0,Ubisoft,M
LEGO Star Wars: The Complete Saga,PlayStation 3,2007.0,Action,LucasArts  ,1.02,0.93,0.0,0.36,2.31,80.0,18.0,7.2,118.0,Traveller's Tales,E10+
Dead Island,PlayStation 3,2011.0,Action Adventure,Deep Silver  ,1.08,0.74,0.15,0.32,2.29,71.0,41.0,6.6,445.0,Techland,M
Star Wars: The Force Unleashed,PlayStation 3,2008.0,Action,LucasArts  ,1.01,0.86,0.0,0.35,2.22,71.0,47.0,6.8,294.0,LucasArts,T
Metal Gear Solid: Peace Walker,PSP,2010.0,Action Adventure,Konami  ,0.46,0.42,0.96,0.25,2.08,89.0,66.0,8.7,662.0,Kojima Productions,T
The Incredibles,Game Boy Advance,2004.0,Action Adventure,THQ  ,1.15,0.77,0.04,0.1,2.06,55.0,13.0,5.3,6.0,Helixe,E
Hitman: Absolution,PlayStation 3,2012.0,Action Adventure,Square Enix  ,0.59,1.08,0.07,0.32,2.06,83.0,30.0,7.5,592.0,Io Interactive,M
Tom Clancy's Splinter Cell: Conviction,Xbox 360,2010.0,Action Adventure,Ubisoft  ,1.2,0.62,0.04,0.19,2.06,85.0,90.0,7.7,673.0,Ubisoft Montreal,M
Peter Jackson's King Kong: The Official Game of the Movie,PlayStation 2,2005.0,Action Adventure,Ubisoft  ,0.71,1.02,0.0,0.31,2.04,82.0,41.0,8.4,106.0,Ubisoft Montpellier,T
Tenchu: Stealth Assassins,PlayStation,1998.0,Action Adventure,Activision  ,0.95,0.64,0.27,0.13,1.99,87.0,14.0,8.7,92.0,Acquire,M
Resident Evil 6,Xbox 360,2012.0,Action Adventure,Capcom  ,1.12,0.61,0.07,0.16,1.97,67.0,71.0,5.2,1519.0,Capcom,M
Dishonored 2,PlayStation 4,2016.0,Action Adventure,Bethesda Softworks  ,0.62,1.02,0.01,0.31,1.97,88.0,62.0,8.1,1414.0,Arkane Studios,M
Grand Theft Auto: San Andreas,Xbox,2005.0,Action Adventure,Rockstar Games  ,1.26,0.61,0.0,0.09,1.95,93.0,58.0,8.8,184.0,Rockstar North,AO
Star Wars: The Force Unleashed,Wii,2008.0,Action,LucasArts  ,1.11,0.56,0.0,0.19,1.86,71.0,18.0,8.0,87.0,Krome Studios,T
The Evil Within,PlayStation 4,2014.0,Horror,Bethesda Softworks  ,0.56,0.9,0.11,0.28,1.86,75.0,65.0,7.7,1868.0,Tango Gameworks,M
Phineas and Ferb,DS,2009.0,Action,Disney Interactive Studios  ,1.33,0.37,0.0,0.15,1.85,80.0,4.0,5.0,13.0,Altron,E
LEGO Star Wars III: The Clone Wars,Wii,2011.0,Action Adventure,LucasArts  ,1.01,0.62,0.0,0.15,1.79,76.0,7.0,8.1,22.0,Traveller's Tales,E10+
The Getaway: Black Monday,PlayStation 2,2005.0,Action Adventure,Sony Computer Entertainment  ,0.39,1.01,0.02,0.36,1.78,57.0,53.0,7.8,60.0,SCEE London Studio,M
